OBJECTID_12,Join_Count,TARGET_FID,OBJECTID,PRI_NEIGH_,PRI_NEIGH,SEC_NEIGH_,SEC_NEIGH,f1,f2,f3,f4,f5,f6,objectid_1,pri_neigh_1,excel_id,ID,Case_Number,Date_,Block,IUCR,Primary_Type,Description,Location_Description,Arrest,Domestic,Beat,District,Ward,Community_Area,FBI_Code,X_Coordinate,Y_Coordinate,Year_,Updated_On,Latitude,Longitude,Location,Shape_Length,Shape_Area
11,23,11,12,121,McKinley Park, , ,0.472600350000000,32.829491580000003,37672.500151059998000,208000,McKinley Park,http://www.zillow.com/app?chartType=home_ownVsRent&graphType=barChart&regionId=139408&regionType=8&service=chart,181,McKinley Park,{D5257B44-7715-44DA-88F8-163EA0EFD8F3},10166744,HY355085,07/24/2015 11:30:00 PM,036XX S HOYNE AVE,320,ROBBERY,STRONGARM - NO WEAPON,STREET,false,false,912,9,11,59,3,1162907,1880723,2015,07/31/2015 12:37:58 PM,41.828351120999997,-87.677813967999995,"(41.828351121, -87.677813968)",20547.730318749302000,26131220.462118085000000
12,7,12,13,120,Mayfair, , ,0.000000000000000,0.000000000000000,0.000000000000000,0,Mayfair,http://www.zillow.com/app?chartType=home_ownVsRent&graphType=barChart&regionId=403286&regionType=8&service=chart,225,Mayfair,{94F4A50E-5CF2-4FA3-BC8D-EE839FEB74C2},10034084,HY223179,04/15/2015 03:48:00 PM,045XX N KENTON AVE,320,ROBBERY,STRONGARM - NO WEAPON,PARK PROPERTY,false,false,1722,17,45,16,3,1144930,1929676,2015,04/22/2015 12:47:10 PM,41.963041130999997,-87.742533949999995,"(41.963041131, -87.74253395)",15089.031079678707000,13318461.575674621000000
13,20,13,26,002,Altgeld Gardens, , ,0.000000000000000,0.000000000000000,0.000000000000000,0,Altgeld Gardens,http://www.zillow.com/app?chartType=home_ownVsRent&graphType=barChart&regionId=137228&regionType=8&service=chart,75,Altgeld Gardens,{C26178F3-523D-4EC1-8697-E3FB6B36C31F},10131086,HY320045,06/28/2015 11:00:00 PM,006XX E 131ST ST,313,ROBBERY,ARMED: OTHER DANGEROUS WEAPON,RESIDENTIAL YARD (FRONT/BACK),false,false,533,5,9,54,3,1183027,1818599,2015,07/05/2015 12:38:04 PM,41.657431062999997,-87.605922793999994,"(41.657431063, -87.605922794)",14852.394802506822000,12536046.618830210000000
14,13,14,62,089,Ida B. Wells / Darrow Homes, , ,0.000000000000000,0.000000000000000,0.000000000000000,0,,,0,,{00000000-0000-0000-0000-000000000000},10163106,HY351610,07/22/2015 09:22:00 PM,038XX S COTTAGE GROVE AVE,320,ROBBERY,STRONGARM - NO WEAPON,STREET,false,false,212,2,4,36,3,1182027,1879731,2015,07/29/2015 12:52:29 PM,41.825207241000001,-87.607695722000003,"(41.825207241, -87.607695722)",10023.870192731491000,6038169.177224190900000
15,4,15,66,206,West De Paul, , ,0.000000000000000,0.000000000000000,0.000000000000000,635000,West De Paul,http://www.zillow.com/app?chartType=home_ownVsRent&graphType=barChart&regionId=403309&regionType=8&service=chart,61,West De Paul,{41FAFB51-2944-40AB-986C-0E4555528CF0},9943879,HY132334,01/28/2015 10:08:00 PM,024XX N ASHLAND AVE,320,ROBBERY,ARMED: HANDGUN,SMALL RETAIL STORE,false,false,1932,19,32,7,3,1165307,1916052,2015,02/04/2015 12:50:38 PM,41.925246215000001,-87.668003790000000,"(41.925246215, -87.66800379)",7916.047596667334800,3474884.961416798600000
16,441,16,75,105,Lawndale, , ,0.000000000000000,0.000000000000000,0.000000000000000,0,,,0,,{00000000-0000-0000-0000-000000000000},10181374,HY369522,08/04/2015 11:30:00 PM,015XX S KOLIN AVE,313,ROBBERY,ARMED: OTHER DANGEROUS WEAPON,APARTMENT,false,false,1012,10,24,29,3,1147685,1891866,2015,08/11/2015 01:05:14 PM,41.859234139000002,-87.733377087999997,"(41.859234139, -87.733377088)",69916.589091416725000,100559635.672698840000000
17,7,17,1,106,LeClaire Courts, , ,0.000000000000000,0.000000000000000,0.000000000000000,0,LeClaire Courts,http://www.zillow.com/app?chartType=home_ownVsRent&graphType=barChart&regionId=403334&regionType=8&service=chart,81,LeClaire Courts,{F3C27271-5B18-4866-911C-352DF317E3F6},9934607,HY123606,01/21/2015 04:30:00 PM,048XX W 46TH ST,313,ROBBERY,ARMED: HANDGUN,ALLEY,false,false,814,8,23,56,3,1144943,1873740,2015,01/28/2015 12:50:55 PM,41.809545956000001,-87.743898779999995,"(41.809545956, -87.74389878)",11491.266523189912000,7183528.615460976000000
18,119,18,9,117,Marquette Park, , ,0.000000000000000,0.000000000000000,0.000000000000000,138000,Marquette Park,http://www.zillow.com/app?chartType=home_ownVsRent&graphType=barChart&regionId=403148&regionType=8&service=chart,125,Marquette Park,{5BD5CF41-DCDF-4632-8F98-BCD708BCC8EC},10169171,HY357386,07/27/2015 10:10:00 AM,065XX S WESTERN AVE,325,ROBBERY,ARMED: HANDGUN,SIDEWALK,false,false,832,8,15,66,3,1161452,1861421,2015,08/03/2015 12:43:37 PM,41.775414333999997,-87.683687492000004,"(41.775414334, -87.683687492)",37101.740712568397000,61497084.650334962000000
19,2,19,23,187,South Old Irving Park, , ,0.000000000000000,0.000000000000000,0.000000000000000,0,South Old Irving Park,http://www.zillow.com/app?chartType=home_ownVsRent&graphType=barChart&regionId=403316&regionType=8&service=chart,88,South Old Irving Park,{FE58079B-28A0-46C6-846C-7B1929380654},9945000,HY133444,01/29/2015 09:07:00 PM,033XX N MILWAUKEE AVE,0,ROBBERY,ARMED: HANDGUN,RESTAURANT,false,false,1731,17,30,16,3,1148976,1921921,2015,02/05/2015 12:49:48 PM,41.941683294000001,-87.727859563999999,"(41.941683294, -87.727859564)",7076.929448822474100,2122479.957903416800000
20,301,20,24,188,South Shore, , ,0.768856620000000,39.646018920000003,29301.382191100001000,76500,South Shore,http://www.zillow.com/app?chartType=home_ownVsRent&graphType=barChart&regionId=269608&regionType=8&service=chart,113,South Shore,{1CA0A0E2-C6FA-4AB9-954B-0E51C07EBA6E},10182163,HY369756,08/04/2015 06:00:00 PM,073XX S EAST END AVE,320,ROBBERY,STRONGARM - NO WEAPON,SIDEWALK,false,false,324,3,8,43,3,1188762,1856847,2015,08/11/2015 01:05:14 PM,41.762253152000000,-87.583719287999998,"(41.762253152, -87.583719288)",46697.977896771699000,65887365.767484836000000
21,33,21,30,006,Ashburn, , ,0.085793980000000,36.577046230000001,54594.151463590002000,140000,Ashburn,http://www.zillow.com/app?chartType=home_ownVsRent&graphType=barChart&regionId=269570&regionType=8&service=chart,179,Ashburn,{D06D15CA-1DF4-4A0D-94B8-569810CBACFB},10179741,HY368029,08/03/2015 09:30:00 PM,078XX S TRUMBULL AVE,320,ROBBERY,ARMED: HANDGUN,SIDEWALK,false,false,835,8,18,70,3,1154788,1852235,2015,08/10/2015 12:52:15 PM,41.750342041000003,-87.708361828999998,"(41.750342041, -87.708361829)",37077.284230594305000,42692493.687894888000000
22,12,22,45,028,The Bush,181,South Chicago,0.000000000000000,0.000000000000000,0.000000000000000,0,The Bush,http://www.zillow.com/app?chartType=home_ownVsRent&graphType=barChart&regionId=403359&regionType=8&service=chart,59,The Bush,{7D95EFBE-DFAB-499A-8FD4-E1548C82ADF4},10108431,HY296932,06/09/2015 07:00:00 PM,083XX S BUFFALO AVE,312,ROBBERY,ARMED:KNIFE/CUTTING INSTRUMENT,STREET,false,false,424,4,10,46,3,1199545,1850499,2015,06/16/2015 12:43:36 PM,41.744569169000002,-87.544412367999996,"(41.744569169, -87.544412368)",15196.075124402150000,6151705.183146425500000
23,149,23,46,181,South Chicago, , ,0.471241880000000,42.524698819999998,33253.425694120000000,145000,South Chicago,http://www.zillow.com/app?chartType=home_ownVsRent&graphType=barChart&regionId=140437&regionType=8&service=chart,129,South Chicago,{D10BD90A-829E-451E-B679-7D706D64A8A6},10174838,HY362755,07/31/2015 01:39:00 AM,081XX S YATES BLVD,312,ROBBERY,ARMED: HANDGUN,STREET,false,false,422,4,7,46,3,1193641,1851409,2015,08/07/2015 01:50:21 PM,41.747212783999998,-87.566015191000005,"(41.747212784, -87.566015191)",41109.447659447142000,65320830.617627680000000
24,16,24,94,067,Garfield Ridge, , ,0.148066820000000,36.376356649999998,47431.618176310003000,205000,Garfield Ridge,http://www.zillow.com/app?chartType=home_ownVsRent&graphType=barChart&regionId=269584&regionType=8&service=chart,131,Garfield Ridge,{FED33BCC-330D-4FA0-A4D9-1EDD48FB5532},10153888,HY341968,07/15/2015 04:07:00 PM,056XX S ARCHER AVE,330,ROBBERY,AGGRAVATED,BANK,false,false,814,8,23,56,3,1142359,1869141,2015,07/22/2015 12:41:19 PM,41.796973798000003,-87.753490420000006,"(41.796973798, -87.75349042)",47819.786915884957000,75965193.733240977000000
25,12,25,100,070,Golden Gate, , ,0.000000000000000,0.000000000000000,0.000000000000000,0,Golden Gate,http://www.zillow.com/app?chartType=home_ownVsRent&graphType=barChart&regionId=403380&regionType=8&service=chart,99,Golden Gate,{0F9A32D8-8D13-49F0-AB0E-4212D7F4FBFA},10130657,HY319420,06/28/2015 02:06:00 PM,132XX S VERNON AVE,320,ROBBERY,ARMED: HANDGUN,RESIDENCE,false,false,533,5,9,54,3,1181477,1817480,2015,07/05/2015 12:38:04 PM,41.654396108000000,-87.611628757999995,"(41.654396108, -87.611628758)",10793.315827532881000,6448517.379991631000000
26,36,26,157,094,Jefferson Park, , ,0.319541120000000,33.544637219999998,50120.882786239999000,276200,Jefferson Park,http://www.zillow.com/app?chartType=home_ownVsRent&graphType=barChart&regionId=269588&regionType=8&service=chart,115,Jefferson Park,{9224F88E-EBF4-4D3B-90DF-BC6745FE98A7},10161158,HY350031,07/21/2015 05:55:00 PM,049XX N MILWAUKEE AVE,320,ROBBERY,ARMED: HANDGUN,MEDICAL/DENTAL OFFICE,false,false,1623,16,45,11,3,1139250,1932531,2015,07/28/2015 12:43:41 PM,41.970981070999997,-87.763347719999999,"(41.970981071, -87.76334772)",56969.399324569284000,95095121.911675826000000
27,17,27,93,066,The Gap, , ,0.000000000000000,0.000000000000000,0.000000000000000,0,The Gap,http://www.zillow.com/app?chartType=home_ownVsRent&graphType=barChart&regionId=403346&regionType=8&service=chart,68,The Gap,{B99C4468-0A9D-408C-A5B8-7C630DDB5F9F},10123180,HY311963,06/22/2015 03:47:00 PM,034XX S PRAIRIE AVE,320,ROBBERY,ARMED: HANDGUN,SIDEWALK,false,false,211,2,3,35,3,1178452,1882402,2015,06/29/2015 12:46:06 PM,41.832618779999997,-87.620730015000007,"(41.83261878, -87.620730015)",8676.359304029821900,4451279.330320537100000
28,8,28,97,115,Magnificent Mile,069,Gold Coast,0.000000000000000,0.000000000000000,0.000000000000000,0,,,0,,{00000000-0000-0000-0000-000000000000},10160995,HY349599,07/18/2015 02:00:00 AM,005XX N MICHIGAN AVE,320,ROBBERY,STRONGARM - NO WEAPON,HOTEL/MOTEL,false,false,1834,18,42,8,3,1177387,1903721,2015,07/25/2015 12:39:13 PM,41.891143657999997,-87.623991334999999,"(41.891143658, -87.623991335)",9187.292685604039400,567650.845176935890000
29,8,29,104,077,Hanson Park, , ,0.000000000000000,0.000000000000000,0.000000000000000,0,Hanson Park,http://www.zillow.com/app?chartType=home_ownVsRent&graphType=barChart&regionId=403324&regionType=8&service=chart,42,Hanson Park,{B2D1BADB-B71D-44B9-A75D-994EC9A55585},10136250,HY323988,07/01/2015 08:40:00 PM,023XX N LOREL AVE,312,ROBBERY,ARMED:KNIFE/CUTTING INSTRUMENT,STREET,false,false,2515,25,37,19,3,1140368,1915153,2015,07/08/2015 12:38:00 PM,41.923273690000002,-87.759664357999995,"(41.92327369, -87.759664358)",11094.527160225001000,7603788.558183815300000
30,0,30,47,029,Cabrini Green,126,Near North,0.000000000000000,0.000000000000000,0.000000000000000,0,Cabrini Green,http://www.zillow.com/app?chartType=home_ownVsRent&graphType=barChart&regionId=403302&regionType=8&service=chart,85,Cabrini Green,{33CCBC6E-81C6-447D-80B7-6B3C0183EB85},0,,,,0,,,,,,0,0,0,0,0,0,0,0,,0.000000000000000,0.000000000000000,,7617.267396447582500,3062458.347671051000000
31,27,31,167,155,Princeton Park, , ,0.000000000000000,0.000000000000000,0.000000000000000,0,Princeton Park,http://www.zillow.com/app?chartType=home_ownVsRent&graphType=barChart&regionId=403362&regionType=8&service=chart,65,Princeton Park,{55F95131-E68B-49D4-AF58-28E39A5D9D91},10177266,HY365315,08/01/2015 10:30:00 PM,094XX S LAFAYETTE AVE,326,ROBBERY,AGGRAVATED VEHICULAR HIJACKING,STREET,false,false,634,6,21,49,3,1177647,1842040,2015,08/08/2015 12:41:58 PM,41.721879518000001,-87.624903656000001,"(41.721879518, -87.624903656)",11139.632955564744000,7626105.199787105400000
32,14,32,14,122,Montclare, , ,0.322208140000000,35.924193369999998,48287.688729160000000,171500,Montclare,http://www.zillow.com/app?chartType=home_ownVsRent&graphType=barChart&regionId=274579&regionType=8&service=chart,151,Montclare,{9334D141-9678-4B45-9237-55BC03A534EF},10102871,HY291957,06/07/2015 03:45:00 AM,070XX W MEDILL AVE,320,ROBBERY,STRONGARM - NO WEAPON,OTHER RAILROAD PROP / TRAIN DEPOT,false,false,2512,25,36,18,3,1128934,1914696,2015,06/14/2015 12:39:55 PM,41.922221841000002,-87.801688166000005,"(41.922221841, -87.801688166)",25582.666370504903000,34716582.105488986000000
33,54,33,15,123,Morgan Park, , ,0.234261470000000,38.131062669999999,51515.183882619996000,143500,Morgan Park,http://www.zillow.com/app?chartType=home_ownVsRent&graphType=barChart&regionId=269595&regionType=8&service=chart,149,Morgan Park,{E759C0F5-295F-4F7B-804E-CF8C754EA074},10178301,HY366503,08/02/2015 07:30:00 PM,113XX S LAFLIN ST,320,ROBBERY,STRONGARM - NO WEAPON,STREET,false,false,2234,22,34,75,3,1168177,1829665,2015,08/09/2015 12:45:24 PM,41.688129156999999,-87.659945143000002,"(41.688129157, -87.659945143)",38110.430102474849000,70450208.157741562000000
34,78,34,16,126,Near North, , ,0.511890230000000,26.257478689999999,65137.750972020003000,333500,Near North,http://www.zillow.com/app?chartType=home_ownVsRent&graphType=barChart&regionId=269597&regionType=8&service=chart,137,Near North,{04BBBA29-7AD3-4BEE-9A54-92C3287775A1},10181138,HY369146,08/04/2015 05:45:00 PM,004XX N RUSH ST,320,ROBBERY,STRONGARM - NO WEAPON,TAXICAB,false,false,1834,18,42,8,3,1176994,1903319,2015,08/11/2015 01:05:14 PM,41.890049455000003,-87.625446795000002,"(41.890049455, -87.625446795)",19493.274649756360000,13376201.077266144000000
35,75,35,17,127,Near West Side, , ,0.579024290000000,25.887755349999999,60963.406584199998000,376800,Near West Side,http://www.zillow.com/app?chartType=home_ownVsRent&graphType=barChart&regionId=269599&regionType=8&service=chart,173,Near West Side,{31CE7240-1505-4999-9DC5-B1FBD50AC456},10182569,HY370022,08/04/2015 01:00:00 AM,003XX S WESTERN AVE,313,ROBBERY,ARMED: HANDGUN,SIDEWALK,false,false,1125,11,2,28,3,1160408,1898579,2015,08/11/2015 01:05:14 PM,41.877401796999997,-87.686489107000000,"(41.877401797, -87.686489107)",31564.061316403160000,35199580.928160891000000
36,25,36,19,129,Noble Square, , ,0.000000000000000,0.000000000000000,0.000000000000000,433800,Noble Square,http://www.zillow.com/app?chartType=home_ownVsRent&graphType=barChart&regionId=403310&regionType=8&service=chart,220,Noble Square,{6841371E-B12B-4E99-871F-3C5657DFAD8F},10137601,HY326019,07/03/2015 01:30:00 PM,015XX W NORTH AVE,340,ROBBERY,ATTEMPT: STRONGARM-NO WEAPON,STREET,false,false,1433,14,1,24,3,1165805,1910696,2015,07/10/2015 12:39:13 PM,41.910538404999997,-87.666326976999997,"(41.910538405, -87.666326977)",14284.884801377248000,9117749.809171794000000
37,139,37,20,130,North Austin, , ,0.000000000000000,0.000000000000000,0.000000000000000,316500,North Austin,http://www.zillow.com/app?chartType=home_ownVsRent&graphType=barChart&regionId=403323&regionType=8&service=chart,135,North Austin,{BD420AB3-0BBF-4871-8820-E8891E374B4E},10176402,HY364135,08/01/2015 02:10:00 AM,014XX N PARKSIDE AVE,330,ROBBERY,ARMED: HANDGUN,STREET,false,false,2531,25,29,25,3,1138364,1909088,2015,08/08/2015 12:41:58 PM,41.906667186999996,-87.767174987999994,"(41.906667187, -87.767174988)",25824.888831073069000,40163238.506525822000000
38,8,38,21,132,North Mayfair, , ,0.000000000000000,0.000000000000000,0.000000000000000,0,North Mayfair,http://www.zillow.com/app?chartType=home_ownVsRent&graphType=barChart&regionId=403271&regionType=8&service=chart,227,North Mayfair,{1257FC00-AEFE-4848-A14B-C0F2D39FD89A},10108615,HY297093,06/11/2015 05:56:00 PM,048XX N TRIPP AVE,320,ROBBERY,STRONGARM - NO WEAPON,SIDEWALK,false,false,1712,17,39,14,3,1147134,1931911,2015,06/18/2015 12:41:41 PM,41.969132150999997,-87.734373110000007,"(41.969132151, -87.73437311)",15757.421390199266000,13896804.290994415000000
39,121,39,22,145,Park Manor, , ,0.000000000000000,0.000000000000000,0.000000000000000,165000,Park Manor,http://www.zillow.com/app?chartType=home_ownVsRent&graphType=barChart&regionId=403356&regionType=8&service=chart,157,Park Manor,{C817F26A-E32D-491A-B8F8-9750A6F924CB},10181161,HY369000,08/04/2015 04:15:00 PM,005XX E 75TH ST,330,ROBBERY,ARMED: HANDGUN,APARTMENT,false,false,323,3,6,69,3,1181500,1855451,2015,08/11/2015 01:05:14 PM,41.758592958000001,-87.610378191999999,"(41.758592958, -87.610378192)",28710.599427126392000,37954184.765889704000000
40,103,40,25,001,Albany Park, , ,0.593291950000000,36.378329549999997,43937.028448559999000,236300,Albany Park,http://www.zillow.com/app?chartType=home_ownVsRent&graphType=barChart&regionId=269566&regionType=8&service=chart,108,Albany Park,{5B930A91-4F52-4B6C-AB34-3CCD7511B48C},10176540,HY364225,08/01/2015 02:50:00 AM,046XX N HARDING AVE,312,ROBBERY,ARMED: HANDGUN,STREET,false,false,1723,17,39,14,3,1149182,1930573,2015,08/08/2015 12:41:58 PM,41.965421049000000,-87.726877393999999,"(41.965421049, -87.726877394)",31996.752062458105000,50666260.036979660000000
41,8,41,27,003,Andersonville,053,Edgewater,0.000000000000000,0.000000000000000,0.000000000000000,312500,Andersonville,http://www.zillow.com/app?chartType=home_ownVsRent&graphType=barChart&regionId=269567&regionType=8&service=chart,18,Andersonville,{0A1B436F-5C47-41E0-9259-EE01A77E846F},10011015,HY200154,03/27/2015 10:22:00 AM,053XX N CLARK ST,320,ROBBERY,ARMED: HANDGUN,SMALL RETAIL STORE,false,false,2013,20,48,77,3,1165118,1935851,2015,04/03/2015 12:48:39 PM,41.979579604000001,-87.668133591000000,"(41.979579604, -87.668133591)",11223.173068954682000,7838899.863582463000000
42,6,42,28,004,Arcadia Terrace, , ,0.000000000000000,0.000000000000000,0.000000000000000,0,Arcadia Terrace,http://www.zillow.com/app?chartType=home_ownVsRent&graphType=barChart&regionId=403255&regionType=8&service=chart,17,Arcadia Terrace,{E4960984-FBC4-45E6-A45E-9B54048AD63B},10074076,HY262792,05/16/2015 02:40:00 PM,056XX N WESTERN AVE,334,ROBBERY,ARMED: HANDGUN,OTHER,false,false,2011,20,40,2,3,1159261,1937637,2015,05/23/2015 12:39:33 PM,41.984603255000003,-87.689623878999996,"(41.984603255, -87.689623879)",10627.006717492271000,7060818.627115608200000
43,33,43,29,005,Archer Heights, , ,0.360767990000000,34.997177979999996,39512.372954719998000,145000,Archer Heights,http://www.zillow.com/app?chartType=home_ownVsRent&graphType=barChart&regionId=269568&regionType=8&service=chart,105,Archer Heights,{38714A00-CD7F-453E-AA8E-07E56D6D1893},10157176,HY346470,07/19/2015 01:45:00 AM,049XX S ARCHER AVE,320,ROBBERY,STRONGARM - NO WEAPON,SIDEWALK,false,false,821,8,14,57,3,1151048,1871514,2015,07/26/2015 12:39:21 PM,41.803320407000001,-87.721564485000002,"(41.803320407, -87.721564485)",34930.561785968981000,63152895.401443124000000
44,51,44,31,010,Belmont Central, , ,0.000000000000000,0.000000000000000,0.000000000000000,216000,Belmont Central,http://www.zillow.com/app?chartType=home_ownVsRent&graphType=barChart&regionId=403109&regionType=8&service=chart,128,Belmont Central,{DEC1C281-D882-4A26-8D4E-D783DE4C6925},10173056,HY360899,07/29/2015 04:00:00 PM,027XX N MANGO AVE,320,ROBBERY,ATTEMPT: ARMED-HANDGUN,SIDEWALK,false,false,2514,25,30,19,3,1137533,1917799,2015,08/05/2015 12:40:02 PM,41.930586177999999,-87.770017444999993,"(41.930586178, -87.770017445)",28592.204792833232000,44542127.698046274000000
